2025-04-24 13:20:18.514 [info] Configuration changed
2025-04-24 13:20:42.719 [info] Configuration changed
2025-04-24 13:20:42.954 [info] Active editor: file://~/Workspace-Magn/Estructured%20Programming/bibtela/bibtela.c
2025-04-24 13:20:52.204 [info] Active editor: file://~/Workspace-Magn/Estructured%20Programming/bibtela/bibtela.h
2025-04-24 13:20:54.787 [info] Active editor: file://~/Workspace-Magn/Estructured%20Programming/bibtela/bibtela.h
2025-04-24 13:20:56.809 [info] Active editor: file://~/Workspace-Magn/Estructured%20Programming/bibtela/Makefile
2025-04-24 13:20:59.067 [info] Active editor: file://~/Workspace-Magn/Estructured%20Programming/bibtela/Makefile
2025-04-24 13:21:00.257 [info] Active editor: file://~/Workspace-Magn/Estructured%20Programming/bibtela/tstbibtela.c
2025-04-24 13:21:13.404 [info] Active editor: file://~/Workspace-Magn/Estructured%20Programming/bibtela/README.md
2025-04-24 13:24:19.895 [info] Active editor: file://~/Workspace-Magn/Estructured%20Programming/bibtela/bibtela.h
2025-04-24 13:25:37.965 [info] Active editor: file://~/Workspace-Magn/Estructured%20Programming/bibtela/Makefile
2025-04-24 13:25:38.498 [info] Active editor: file://~/Workspace-Magn/Estructured%20Programming/bibtela/tstbibtela.c
2025-04-24 13:25:39.093 [info] Active editor: file://~/Workspace-Magn/Estructured%20Programming/bibtela/Makefile
